,,,,,,,,,,,,,,
, Total occurences , , , , , , ,   Number of files using the predicate , , , , , , 
,,,,,,,,,,,,,,
, , Orca ,  f4w  , dissect  , eye , cwm , all , ,  Orca ,  f4w  , dissect  , eye , cwm , all  
string:contains , ,0,0,0,24,0,24,  ,0,0,0,1,0,1
string:containsIgnoringCase , ,0,0,0,8,0,8,  ,0,0,0,1,0,1
string:notGreaterThan , ,0,0,0,0,3,3,  ,0,0,0,0,1,1
string:search , ,0,0,0,8,0,8,  ,0,0,0,1,0,1
e:binaryEntropy , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:cartesianProduct , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:ignore , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:match , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:numeral , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:prefix , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:relabel , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:roc , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:sigmoid , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:stringReverse , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:transaction , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:tripleList , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
e:unique , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:atan2 , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:cos , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:cosh , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:degrees , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:sin , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:sinh , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:tan , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
math:tanh , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
string:equalIgnoringCase , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
string:notEqualIgnoringCase , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
string:replace , ,0,0,0,0,0,0,  ,0,0,0,0,0,0
,,,,,,,,,,,,,,
Total number of files,,,,,,,,,336,31,84,389,284,1124
